Name,R.T. (min),Similarity,Formula,Area,Peak S/N,Base Mass
Diphenyl sulfone,19.4978,769,C12H10O2S,320910,72,125.04
"1,4-Dibutyl benzene-1,4-dicarboxylate",19.5203,946,C16H22O4,9292473,1333,149.06
Peak 281,19.5327,,,447535,28,69.10
n-Hexadecanoic acid,19.5785,936,C16H32O2,66143224,3776,73.07
Peak 283,19.5833,,,446173,46,135.13
Peak 284,19.6213,,,426006,47,105.07
Diamyl phthalate,19.6514,625,C18H26O4,96817,27,149.06
Nonanamide,19.6744,790,C9H19NO,2045348,200,59.08
"Hexadecanoic acid, ethyl ester",19.7478,911,C18H36O2,48163257,4303,88.08
Peak 288,19.7762,,,275578,58,118.11
"Tridecane, 6-methyl-",19.8067,627,C14H30,243611,19,57.11
Peak 290,19.8356,,,160550,48,150.11
Peak 291,19.9738,,,184999,50,60.06
"Sulfurous acid, 2-propyl undecyl ester",20.0215,748,C14H30O3S,1471199,82,57.11
"2,4,6-Tris(1,1-dimethylethyl)-4-methylcyclohexa-2,5-dien-1-one",20.0516,636,C19H32O,347301,142,205.14
"Dodecane, 1-iodo-",20.1309,721,C12H25I,2760601,57,57.11
Peak 295,20.1964,,,268056,33,59.08
"4,4'-(1,2-diethylethylene)diphenol",20.2055,671,C18H22O2,252441,35,135.15
Hexaborane,20.2747,742,B6H10,403386,48,59.08
"Hexasiloxane, tetradecamethyl-",20.3055,608,C14H42O5Si6,660872,74,73.08
Peak 299,20.3412,,,55431,14,97.10
Nonanoic acid,20.3844,676,C9H18O2,1049038,87,73.07
"Butane, 2,2-dimethyl-",20.4315,742,C6H14,291857,11,57.11
Isothiazole,20.4952,713,C3H3NS,262614,20,85.06
Peak 303,20.5107,,,665413,22,55.10
1-Undecanol,20.5229,744,C11H24O,508827,12,69.11
"Heptadecanoic acid, ethyl ester",20.5636,687,C19H38O2,1094235,206,88.08
1-Tridecyne,20.5889,770,C13H24,496513,31,67.10
"9-Octadecenoic acid (Z)-, methyl ester",20.6428,769,C19H36O2,1556536,53,55.10
"Octa-3,5-diene-2,7-dione, 4,5-dihydroxy-",20.6609,713,C8H10O4,581703,35,85.06
tert-Butyl N-(tert-butoxy)carbamate,20.6858,816,C9H19NO3,330689,13,57.11
Peak 310,20.7294,,,93008,20,98.10
Phytol,20.7475,919,C20H40O,3881671,236,71.09
Peak 312,20.7588,,,273808,21,85.05
Peak 313,20.8627,,,353367,22,74.07
"Sulfurous acid, 2-ethylhexyl hexyl ester",20.8843,709,C14H30O3S,1964874,40,57.11
Dimethoxymethyl-hydroxy-triphenyl phosphide,20.9241,802,C21H23O3P,267097,49,277.15
"4-(2-Hydroxyethyl)piperazin-2-one, acetate",20.9789,685,C8H14N2O3,199144,15,113.16
"Hexadecanoic acid, 2-methylpropyl ester",21.0274,883,C20H40O2,8207568,653,57.11
"9,12-Octadecadienoic acid (Z,Z)-",21.0849,808,C18H32O2,36665182,665,67.10
Peak 319,21.1055,,,827846,85,44.04
trans-13-Octadecenoic acid,21.1248,906,C18H34O2,140016507,1056,55.10
Peak 321,21.1294,,,1745044,141,72.11
Peak 322,21.1688,,,1856615,57,91.09
"2-Fluorobenzylamine, N,N-dinonyl",21.1873,673,C25H44FN,1114254,38,264.30
"9,12-Octadecadienoic acid, ethyl ester",21.1979,915,C20H36O2,46475082,730,67.09
Peak 325,21.2357,,,3041593,114,239.07
(E)-9-Octadecenoic acid ethyl ester,21.2532,899,C20H38O2,35709594,1596,55.10
"1-Methyltricyclo[2.2.1.0(2,6)]heptane",21.2598,637,C8H12,13642085,216,79.09
"Dibenzo[def,mno]chrysene-6,12-dione",21.2658,601,C22H10O2,295950,97,306.32
Oleic Acid,21.3161,825,C18H34O2,8192456,458,55.10
Nonanamide,21.3484,605,C9H19NO,3588087,274,59.08
"Octadecanoic acid, ethyl ester",21.5006,860,C20H40O2,6449862,837,88.08
Nonanamide,21.5149,804,C9H19NO,9251887,814,59.08
"Heptasiloxane, hexadecamethyl-",21.5501,642,C16H48O6Si7,711280,62,73.08
"Hexane, 3,3-dimethyl-",21.5691,825,C8H18,2456921,46,57.11
Peak 335,21.5901,,,95065,28,257.21
Peak 336,21.6904,,,123255,17,55.10
Peak 337,21.7724,,,9213,10,221.19
"4H-1,3-Dioxin-4-one, 2-(1,1-dimethylethyl)-6-methyl-, (R)-",21.8927,610,C9H14O3,287747,12,85.13
"2,2,4,5-Tetramethyl-5-hexen-3-one",21.9402,695,C10H18O,803094,29,57.11
Peak 340,22.0089,,,80556,16,207.08
"Pentane, 2,2-dimethyl-",22.0483,631,C7H16,1982133,38,57.11
