"Spectrum","Time","TIC"
577,477.69630048,1921431.507580724
578,477.79629408,1923154.658740595
579,477.89628768,1925705.75451067
580,477.99628128,1929243.549057613
581,478.09627488,1933829.922073005
582,478.19626848,1939467.883147959
583,478.29626208,1946212.671021485
584,478.39625568,1954149.928537313
585,478.49624928,1963317.564909401
586,478.59624288,1973686.174557594
587,478.69623648,1985200.115766113
588,478.79623008,1997806.119522864
589,478.89622368,2011417.579675809
590,478.99621728,2025824.316289862
591,479.09621088,2040804.396056839
592,479.19620448,2056101.832014953
593,479.29619808,2071480.018720777
594,479.39619168,2086674.204606537
595,479.49618528,2101433.393492317
596,479.59617888,2115552.43932203
597,479.69617248,2128847.863741945
598,479.79616608,2141102.411968661
599,479.89615968,2152309.599454304
600,479.99615328,2162768.906747929
601,480.09614688,2173226.937757324
602,480.19614048,2184113.680950307
603,480.29613408,2195273.269558131
604,480.39612768,2206237.832238566
605,480.49612128,2216719.047995638
606,480.59611488,2226611.280016811
607,480.69610848,2236020.139696908
608,480.79610208,2245093.805885615
609,480.89609568,2254021.581284367
610,480.99608928,2262514.609816079
611,481.09608288,2269710.952661145
612,481.19607648,2274189.751818933
613,481.29607008,2275204.753468698
614,481.39606368,2273416.506511439
615,481.49605728,2270219.9847095
616,481.59605088,2266714.126133339
617,481.69604448,2263560.386565565
618,481.79603808,2260929.674474555
619,481.89603168,2258895.668472045
620,481.99602528,2257583.147581651
621,482.09601888,2257530.515872571
622,482.19601248,2259620.03946991
623,482.29600608,2264865.076850162
624,482.39599968,2273814.060283753
625,482.49599328,2286213.277330521
626,482.59598688,2301376.245992548
627,482.69598048,2318627.908813291
628,482.79597408,2337430.465865059
629,482.89596768,2357504.777949065
630,482.99596128,2378688.959512143
631,483.09595488,2400755.076145628
632,483.19594848,2423205.892144116
633,483.29594208,2445401.620057541
634,483.39593568,2466851.371929518
635,483.49592928,2487252.366224776
636,483.59592288,2506357.226225471
637,483.69591648,2523892.680504052
638,483.79591008,2539710.300605901
639,483.89590368,2553794.480679451
640,483.99589728,2566139.214652711
641,484.09589088,2576642.734504096
642,484.19588448,2585218.354183916
643,484.29587808,2591958.119781693
644,484.39587168,2597087.078405159
645,484.49586528,2600749.653937648
646,484.59585888,2602980.704745553
647,484.69585248,2603768.35129562
648,484.79584608,2603136.433432845
649,484.89583968,2601098.237735184
650,484.99583328,2597641.313459361
651,485.09582688,2592784.596736554
652,485.19582048,2586594.881265598
653,485.29581408,2579152.723579359
654,485.39580768,2570520.833697816
655,485.49580128,2560739.388185384
656,485.59579488,2549871.447769938
657,485.69578848,2537992.49941365
658,485.79578208,2525195.110573484
659,485.89577568,2511614.432618794
660,485.99576928,2497409.938434188
661,486.0957628800001,2482756.793887991
662,486.19575648,2467832.72759614
663,486.29575008,2452833.063660438
664,486.39574368,2437889.452339297
665,486.49573728,2422985.792615576
666,486.59573088,2408039.221197386
667,486.69572448,2393021.630258533
668,486.79571808,2378017.469876308
669,486.89571168,2363193.348670795
670,486.99570528,2348678.403401913
671,487.09569888,2334512.210839537
672,487.19569248,2320643.94915466
673,487.29568608,2306955.879893756
674,487.39567968,2293350.59918853
675,487.49567328,2279884.688714011
676,487.59566688,2266808.750591764
677,487.69566048,2254393.499549213
678,487.79565408,2242777.900334728
679,487.89564768,2231985.789721972
680,487.99564128,2222016.50281618
681,488.09563488,2212942.578070529
682,488.19562848,2204946.875043916
683,488.29562208,2198262.184784542
684,488.39561568,2193109.899670165
685,488.4956092800001,2189578.615715406
686,488.59560288,2187563.409451422
687,488.69559648,2186871.61399679
688,488.79559008,2187368.780582189
689,488.89558368,2189017.284877927
690,488.99557728,2191832.488629736
691,489.09557088,2195803.96082448
692,489.19556448,2200873.543137458
693,489.29555808,2206896.222343687
694,489.39555168,2213690.961844265
695,489.49554528,2221110.917961948
696,489.59553888,2229133.537676571
697,489.69553248,2237848.911479235
698,489.79552608,2247289.517054982
699,489.89551968,2257380.563247752
700,489.99551328,2267994.139043592
701,490.09550688,2278978.495423966
702,490.19550048,2290219.272387206
703,490.29549408,2301625.109207242
704,490.39548768,2313163.255780571
705,490.49548128,2324890.881987218
706,490.59547488,2336866.979476985
707,490.69546848,2349105.466035591
708,490.79546208,2361657.018990308
709,490.8954556800001,2374771.164244763
710,490.99544928,2388818.041563012
711,491.09544288,2404142.019061873
712,491.19543648,2420948.688327485
713,491.29543008,2439294.700856338
714,491.39542368,2459175.605263246
715,491.49541728,2480608.990480914
716,491.59541088,2503533.456125912
717,491.69540448,2527812.203875948
718,491.79539808,2553179.534489311
719,491.89539168,2579142.424975291
720,491.9953852800001,2604970.212541813
721,492.09537888,2629863.205327576
722,492.19537248,2653155.568933214
723,492.29536608,2674403.140684065
724,492.39535968,2693274.688061502
725,492.49535328,2709395.253108395
726,492.59534688,2722279.9776193
727,492.69534048,2731476.46840498
728,492.79533408,2736691.850080973
729,492.89532768,2737836.556616385
730,492.99532128,2735083.1625876
731,493.09531488,2728752.201179786
732,493.19530848,2719212.466822765
733,493.29530208,2706742.047259068
734,493.39529568,2691534.439416763
735,493.49528928,2673778.287284377
736,493.59528288,2653753.876705645
737,493.69527648,2631822.043505643
